name,x,y,z,id,pagerank,cluster_id,parent_id,parent_name
edm,-18.697685,2.88545,-4.225773,2193,0.003860223,0,2193,edm
electro house,-18.951916,2.6354563,-4.737275,3598,0.003308307,0,2193,edm
tropical house,-18.881994,4.6585145,-2.71923,3388,0.002499435,0,2193,edm
europop,-13.406145,6.358226999999999,3.8717375,2758,0.0019403789999999999,0,2193,edm
progressive house,-16.134228,5.045137,-4.4142804,3224,0.0018528020000000002,0,2193,edm
pop edm,-18.793194,3.6097562000000005,-3.6773205,3013,0.001765464,0,2193,edm
big room,-18.213402,4.409057,-4.7174062999999995,1495,0.001669822,0,2193,edm
progressive electro house,-18.40861,4.3112593,-5.1820416,575,0.001347391,0,2193,edm
brostep,-19.540304000000003,1.3637801,-5.731321,2779,0.001199635,0,2193,edm
deep big room,-19.029638000000002,4.7465134,-5.1585846,484,0.001168515,0,2193,edm
electronic trap,-18.683615,0.9420941999999999,-5.9409410000000005,3205,0.001128606,0,2193,edm
norwegian pop,-21.325876,7.388818700000001,1.6830726000000003,1812,0.000995344,0,2193,edm
eurodance,-14.004366000000001,5.737882599999999,3.0671362999999996,3592,0.000844351,0,2193,edm
danish pop,-18.391125,10.816417,-0.95889115,3504,0.000835934,0,2193,edm
bass trap,-17.582617000000003,0.40745243,-7.3311768,3355,0.000800519,0,2193,edm
vapor twitch,-17.91978,-0.47256149999999997,-5.4457335,3680,0.000764841,0,2193,edm
bubblegum dance,-13.990429999999998,5.7532225,3.1909034,1031,0.0007647180000000001,0,2193,edm
catstep,-21.117704,1.5605011,-4.0182176,1923,0.000757283,0,2193,edm
trance,-14.73078,5.133743,-4.160997,1797,0.000755389,0,2193,edm
uplifting trance,-14.841225,5.617275,-4.492996,282,0.000678385,0,2193,edm
deep tropical house,-19.065619,5.461354,-2.3011925,1019,0.000642117,0,2193,edm
progressive trance,-14.880764000000001,5.7294792999999995,-3.9829082000000002,2238,0.00059664,0,2193,edm
complextro,-20.934551000000003,1.3792573000000001,-4.839422,2464,0.000544846,0,2193,edm
rawstyle,-22.880901,9.526273,-6.587894400000001,908,0.000536508,0,2193,edm
hardcore techno,-22.827795000000002,11.561356,-7.714856599999999,3330,0.000502117,0,2193,edm
gaming edm,-20.202925,1.0775898000000002,-4.1073294,3348,0.000486266,0,2193,edm
sky room,-18.956997,5.1156735,-6.123744,811,0.00048618,0,2193,edm
norwegian indie,-21.70605,8.512343,1.7516011999999999,1906,0.00046702099999999997,0,2193,edm
danish hip hop,-17.795307,11.513847,-1.3616792,1212,0.00045348,0,2193,edm
zapstep,-20.278059,0.686448,-6.2656064,1909,0.000447897,0,2193,edm
happy hardcore,-23.14365,10.990993,-6.5537456999999995,3500,0.000433313,0,2193,edm
chillstep,-21.271347,0.5683989,-4.3896856,694,0.00042036,0,2193,edm
classic danish pop,-17.53879,12.120714,-0.8809038,1310,0.000385204,0,2193,edm
hardstyle,-22.570038,8.944996000000002,-6.828034,1421,0.000374194,0,2193,edm
traprun,-17.310871,0.36663684,-7.5692105,413,0.00033756,0,2193,edm
filthstep,-20.520882,0.60799026,-5.386922,829,0.00033712900000000003,0,2193,edm
