id,name
1,synthpop
2,german renaissance
3,scottish metal
4,mizrahi
5,folk rock
6,indie surf
7,christian afrobeat
8,slavic metal
9,regional mexican pop
10,neo-traditional bluegrass
11,irish dance
12,melodic metalcore
13,luxembourgian indie
14,early us punk
15,rap tunisien
16,danish pop rock
17,pernambuco alternative
18,microhouse
19,minimal wave
20,antideutsche
21,singaporean hip hop
22,chinese audiophile
23,neo-synthpop
24,portuguese black metal
25,funky breaks
26,mandible
27,polish jazz
28,diy emo
29,deep flow
30,cumbia pop
31,lafayette indie
32,modern reggae
33,oud
34,jazz mexicano
35,musica potosina
36,folktronica
37,brill building pop
38,karadeniz halk muzigi
39,vogue
40,british children's music
41,corrosion
42,zillertal
43,metal colombiano
44,punk colombiano
45,latin pop
46,turkish instrumental
47,nashville indie
48,german pop rock
49,slovenian rock
50,drama
51,swedish garage rock
52,chicago rap
53,funeral doom
54,neo mellow
55,mexican son
56,polish alternative rock
57,jump blues
58,mbalax
59,spanish comedy
60,progressive metalcore
61,symphonic death metal
62,japanese progressive house
63,greek black metal
64,danish techno
65,ambient techno
66,pop romantico
67,warm drone
68,singaporean electronic
69,salsa international
70,tibetan traditional
71,post-disco
72,modern uplift
73,motivation
74,grand rapids indie
75,glam rock
76,lo star
77,funana
78,german tech house
79,nasyid
80,columbus ohio indie
81,punta
82,japanese girl punk
83,contemporary jazz
84,jordanian pop
85,mbira
86,intelligent dance music
87,bahamian pop
88,punk urbano
89,turkish jazz
90,discofox
91,italian doom metal
92,polish trap
93,croatian pop
94,pagode
95,christian indie
96,vapor trap
97,progressive doom
98,russian indie
99,salsa colombiana
100,focus trance
101,uk tech house
102,frenchcore
103,disney espanol
104,spanish noise pop
105,lo-fi beats
106,brazilian hardcore
107,kundiman
108,dub reggae
109,mandolin
110,swedish psychedelic rock
111,rock en espanol
112,chanson quebecois
113,ukrainian electronic
114,nederpop
115,cowboy western
116,amharic pop
117,german techno
118,kleine hoerspiel
119,talent show
120,cumbia ecuatoriana
121,acousmatic
122,volksmusik
123,dominican pop
124,messianic praise
125,egyptian pop
126,new americana
127,indonesian death metal
128,electric bass
129,industrial metal
130,tarantella
131,smooth soul
132,progressive thrash
133,deep funk
134,azontobeats
135,chill lounge
136,uk post-hardcore
137,tahitian
138,wassoulou
139,abstract idm
140,milwaukee hip hop
141,vintage gospel
142,garage pop
143,christian hardcore
144,groove room
145,shaabi
146,south dakota indie
147,texas pop punk
148,swing
149,dunedin indie
150,spanish techno
151,deep dubstep
152,livetronica
153,early romantic era
154,perth indie
155,electro jazz
156,hammond organ
157,channel pop
158,nu disco
159,uptempo hardcore
160,finnish worship
161,russian romance
162,technical brutal death metal
163,j-poprock
164,neo soul
165,spanish rockabilly
166,balkan hip hop
167,sega mauricien
168,milan indie
169,danish indie pop
170,aussie emo
